"날짜","종가","전일비","시가","고가","저가","거래량"
"2020.02.25",45300,3300,42250,45750,41250,77621
"2020.02.24",42000,1050,41650,42900,41250,40485
"2020.02.21",43050,1400,43950,44200,42950,48726
"2020.02.20",44450,950,45750,45750,44400,23460
"2020.02.19",45400,750,46250,46350,44750,33032
"2020.02.18",46150,350,47000,47000,45000,35761
"2020.02.17",46500,600,46500,47250,45750,42600
"2020.02.14",45900,550,47100,47300,45400,35243
"2020.02.13",46450,300,46150,47500,45800,79307
"2020.02.12",46150,150,46450,46750,45450,49455
"2020.02.11",46000,1050,45000,46000,45000,50008
"2020.02.10",44950,1600,43200,44950,41400,31893
"2020.02.07",43350,1350,44650,44750,43250,36932
"2020.02.06",44700,150,44850,45300,43450,29787
"2020.02.05",44550,2450,42300,44950,42050,69232
"2020.02.04",42100,450,41850,42400,41650,32973
"2020.02.03",41650,300,40400,42500,40400,55273
"2020.01.31",41350,1200,42600,43150,41350,32768
"2020.01.30",42550,1400,43500,43800,41950,57583
"2020.01.29",43950,350,43800,45000,43200,30402
"2020.01.28",43600,2800,44750,44850,42350,70490
"2020.01.23",46400,1500,47150,47200,45700,54042
"2020.01.22",47900,0,48450,48450,47300,30401
"2020.01.21",47900,950,48900,48900,47500,38716
"2020.01.20",48850,600,48550,49000,47550,61504
"2020.01.17",48250,2650,45700,48350,45350,151485
"2020.01.16",45600,800,44800,45850,44400,44181
"2020.01.15",44800,250,44950,46250,44750,60954
"2020.01.14",45050,550,44500,45350,44000,56901
"2020.01.13",44500,1000,44900,46100,44250,52873
"2020.01.10",45500,50,47400,47450,44250,83958
"2020.01.09",45450,3950,43350,47400,42200,118278
"2020.01.08",41500,1300,43000,43000,40500,45876
"2020.01.07",42800,1150,41500,43000,41500,24018
"2020.01.06",41650,1900,42100,42850,41500,37317
"2020.01.03",43550,150,43200,44600,42950,60607
"2020.01.02",43400,550,42500,44550,42500,40193
"2019.12.30",42850,650,43350,43750,42400,46399
"2019.12.27",43500,2900,40600,44550,40600,72780
"2019.12.26",40600,650,40000,40800,40000,39685
"2019.12.24",39950,850,40800,41500,39900,46588
"2019.12.23",40800,600,40750,41500,40450,31227
"2019.12.20",40200,700,41000,41000,40050,66207
"2019.12.19",40900,1050,41900,42500,40900,66820
"2019.12.18",41950,150,42300,42400,41800,33186
"2019.12.17",42100,200,42000,42950,42000,28833
"2019.12.16",42300,0,42400,43400,42100,52970
"2019.12.13",42300,550,41800,43800,41800,102178
"2019.12.12",41750,150,41600,42150,41100,53830
"2019.12.11",41600,100,42000,42450,41100,45919
"2019.12.10",41700,1700,43200,43300,41700,59885
"2019.12.09",43400,100,43600,44300,43250,18220
"2019.12.06",43500,200,43150,44950,43150,21944
"2019.12.05",43300,700,43950,44800,42000,56358
"2019.12.04",44000,50,44300,45500,43800,57923
"2019.12.03",44050,750,44800,45400,43500,74734
"2019.12.02",44800,1550,46350,47000,44350,442122
"2019.11.29",46350,1100,47500,47500,46050,39254
"2019.11.28",47450,2900,44800,47650,44800,164655
"2019.11.27",44550,1750,43350,44600,43100,87477
"2019.11.26",42800,250,42000,44650,41900,58415
"2019.11.25",42550,2800,40000,43000,40000,65313
"2019.11.22",39750,1300,41550,41550,39600,70082
"2019.11.21",41050,1250,41350,41700,39200,151343
"2019.11.20",42300,1300,43600,43600,42300,60114
"2019.11.19",43600,50,43650,44450,42800,34439
"2019.11.18",43650,950,42750,44200,42750,47468
"2019.11.15",42700,600,42500,43650,42450,62382
"2019.11.14",42100,2400,44800,45400,40700,187632
"2019.11.13",44500,3400,48100,48250,43300,214846
"2019.11.12",47900,350,47550,48450,46000,59090
"2019.11.11",47550,2050,49600,50200,47500,83572
"2019.11.08",49600,400,50200,50500,49200,37161
"2019.11.07",50000,700,49700,51100,49350,57331
"2019.11.06",49300,800,49800,50700,48850,76730
"2019.11.05",50100,1600,51600,51800,50000,65940
"2019.11.04",51700,1600,50200,51700,48100,83642
"2019.11.01",50100,0,50300,51500,49800,67139
"2019.10.31",50100,300,50600,52000,50000,55665
"2019.10.30",50400,1800,52700,52800,49600,96754
"2019.10.29",52200,2300,54500,55300,51100,122560
"2019.10.28",54500,1900,56300,56300,53600,101424
"2019.10.25",56400,1300,55100,57300,54600,82909
"2019.10.24",55100,200,54900,55900,53300,69070
"2019.10.23",54900,2200,53200,55300,52400,132411
"2019.10.22",52700,1600,51100,52700,50300,118396
"2019.10.21",51100,1350,49750,51400,49000,86830
"2019.10.18",49750,3250,46500,50200,46350,125300
"2019.10.17",46500,1450,48550,48550,46400,54609
"2019.10.16",47950,350,48400,49150,47700,41354
"2019.10.15",48300,850,49150,49650,47900,42713
"2019.10.14",49150,50,49650,52800,49050,95688
"2019.10.11",49100,2300,47000,49750,46500,66193
"2019.10.10",46800,1500,48300,48500,46350,84573
"2019.10.08",48300,1100,47400,48500,45900,81861
"2019.10.07",47200,400,48250,48900,47000,36640
"2019.10.04",47600,2350,49500,50000,47600,82389
"2019.10.02",49950,1350,50600,51900,49900,38024
"2019.10.01",51300,100,51200,52200,49900,48606
"2019.09.30",51200,1400,52600,53800,50600,53462
