"날짜","종가","전일비","시가","고가","저가","거래량"
"2020.02.25",65900,3200,63700,65900,63300,1839048
"2020.02.24",62700,1600,62300,64500,61900,1904157
"2020.02.21",64300,2500,65300,67000,64200,1195354
"2020.02.20",66800,0,66400,67300,64800,1707304
"2020.02.19",66800,2200,70000,70400,66100,2181489
"2020.02.18",69000,500,67900,70200,67000,2124962
"2020.02.17",68500,3300,65800,69100,65800,2313405
"2020.02.14",65200,1500,64100,65200,63400,1237009
"2020.02.13",63700,2100,62900,64900,62600,2685649
"2020.02.12",61600,700,61400,62100,60200,996742
"2020.02.11",60900,100,61900,62800,60400,1874818
"2020.02.10",61000,2300,58900,62000,58100,2086302
"2020.02.07",58700,200,59200,59300,58000,1269978
"2020.02.06",58900,3000,56700,59500,56400,2823720
"2020.02.05",55900,600,55800,56200,54400,1360800
"2020.02.04",55300,700,56800,58000,54300,2794058
"2020.02.03",56000,1200,56800,57700,55400,1757975
"2020.01.31",57200,1200,56800,59300,56300,2676191
"2020.01.30",56000,100,56300,57700,55300,1709479
"2020.01.29",56100,3100,53700,56700,53200,1823098
"2020.01.28",53000,2200,53500,54600,52800,1107240
"2020.01.23",55200,0,55300,56000,54200,874564
"2020.01.22",55200,2600,52600,55200,52200,1033031
"2020.01.21",52600,700,53300,54100,52100,1003825
"2020.01.20",53300,1600,55100,56200,52600,1554103
"2020.01.17",54900,200,56200,56700,54200,1948193
"2020.01.16",55100,3100,52100,60700,51400,7817807
"2020.01.15",52000,400,52400,52400,51600,418643
"2020.01.14",52400,0,53100,53400,51700,701466
"2020.01.13",52400,800,52200,52600,51600,688789
"2020.01.10",51600,800,51400,52000,50300,673439
"2020.01.09",50800,1300,51000,51400,50100,782797
"2020.01.08",49500,2000,50600,50800,49300,1097478
"2020.01.07",51500,1550,50400,51900,50300,692795
"2020.01.06",49950,1450,50300,51000,49800,853959
"2020.01.03",51400,1200,53200,53600,51400,809860
"2020.01.02",52600,400,53200,53600,51300,853788
"2019.12.30",53000,1100,54000,54200,52800,643498
"2019.12.27",54100,500,55300,55500,53400,1563989
"2019.12.26",57300,2100,55800,57300,55600,2117916
"2019.12.24",55200,100,55700,55800,54400,969491
"2019.12.23",55300,1600,54200,55600,54000,1082215
"2019.12.20",53700,1200,52800,54000,52700,944335
"2019.12.19",52500,1400,51400,53300,51000,1037252
"2019.12.18",51100,200,52300,52300,50800,737196
"2019.12.17",50900,2900,48100,50900,47900,825511
"2019.12.16",48000,700,48700,49050,47900,358563
"2019.12.13",48700,300,49400,49850,48250,809412
"2019.12.12",48400,2650,46300,48850,46100,1343088
"2019.12.11",45750,150,45700,46150,45350,387663
"2019.12.10",45900,450,46300,46600,45600,506009
"2019.12.09",46350,700,47000,47150,46300,452819
"2019.12.06",47050,900,46450,47100,46350,460984
"2019.12.05",46150,1000,47700,47950,46050,781036
"2019.12.04",47150,1200,48000,48250,46650,677963
"2019.12.03",48350,800,48550,48850,48250,424192
"2019.12.02",49150,100,49300,50400,49000,439607
"2019.11.29",49250,1350,50700,50800,49200,577224
"2019.11.28",50600,1800,52300,52800,50500,618396
"2019.11.27",52400,2300,51000,53200,50400,956736
"2019.11.26",50100,300,51800,51800,50100,688650
"2019.11.25",50400,2200,48900,50500,48800,602581
"2019.11.22",48200,450,48650,49400,47950,703908
"2019.11.21",48650,2850,51900,51900,48450,1203188
"2019.11.20",51500,300,51300,52100,50900,466877
"2019.11.19",51200,1000,51700,52100,50900,520880
"2019.11.18",52200,500,53400,53400,52000,342162
"2019.11.15",52700,200,52800,53300,51500,529554
"2019.11.14",52500,1700,51200,53200,51200,745371
"2019.11.13",50800,1200,51600,52000,50600,523337
"2019.11.12",52000,400,51800,52500,51600,435381
"2019.11.11",51600,200,52100,52400,50600,690140
"2019.11.08",51800,900,53600,53600,51500,838649
"2019.11.07",52700,1500,55000,55200,52200,947469
"2019.11.06",54200,600,55100,55200,54000,538811
"2019.11.05",54800,700,54200,54800,53800,561130
"2019.11.04",54100,100,54800,54800,54000,542390
"2019.11.01",54000,1100,55100,55200,53300,846846
"2019.10.31",55100,700,56400,56500,55000,1073575
"2019.10.30",55800,1000,57200,57200,55500,820750
"2019.10.29",56800,500,57300,58200,56700,868879
"2019.10.28",56300,1200,55600,56600,55300,971999
"2019.10.25",55100,300,55900,56300,54400,1307720
"2019.10.24",55400,3800,55100,56500,54100,10123544
"2019.10.23",59200,2700,57300,59800,57200,1999953
"2019.10.22",56500,3500,53100,56900,52700,1532348
"2019.10.21",53000,400,53100,54100,52300,439861
"2019.10.18",53400,1700,55100,55400,53200,458361
"2019.10.17",55100,600,56000,56400,54600,524044
"2019.10.16",55700,1200,55100,56700,55100,654936
"2019.10.15",54500,100,54200,55000,54000,334287
"2019.10.14",54400,500,54600,55000,54000,436899
"2019.10.11",53900,900,55200,55200,53900,505716
"2019.10.10",54800,700,54900,55200,53900,696706
"2019.10.08",55500,400,55500,56400,53800,1442082
"2019.10.07",55100,2300,53600,55500,53100,1109844
"2019.10.04",52800,500,53100,53900,52500,598668
"2019.10.02",53300,1500,54000,55300,53300,1001070
"2019.10.01",54800,4400,51500,55200,50900,1734071
"2019.09.30",50400,600,51300,51400,49600,533763
