"name","id","x","y","addr"
"굿브라더스페이스 신촌센터","s654850217","126.9425555","37.5574319","서울특별시 서대문구 대현동 104-5"
"세렌디피티","s1791399590","126.9447192","37.5591012","서울특별시 서대문구 대현동 56-3"
"솔리드웍스 아이스크림","s173918089","126.9435013","37.5592892","서울특별시 서대문구 대현동 142-17"
"뽀들렌케이크","s1834781452","126.9474362","37.5573677","서울특별시 서대문구 대현동 67-81"
"캐치카페 신촌","s1420025738","126.9373058","37.5563514","서울특별시 서대문구 창천동 18-29"
"파티션 WSC","s1533544820","126.9436147","37.5593510","서울특별시 서대문구 대현동 142-25"
"신촌로스팅라이브러리","s1307766370","126.9365982","37.5567499","서울특별시 서대문구 창천동 30-1 유플렉스 12층"
"피망과토마토","s31371626","126.9383345","37.5586558","서울특별시 서대문구 창천동 46-3"
"꿈틀 스터디룸 신촌점","s13555636","126.9364469","37.5581439","서울특별시 서대문구 창천동 33-25"
"FAVORITE COFFEE","s1878071034","126.9371733","37.5569366","서울특별시 서대문구 창천동 18-20"
